Date,harga_saham
2020-09-04,3.12
2020-08-04,3.11
2020-07-04,3.22
2020-06-04,3.33
2020-03-04,3.2
2020-02-04,3.13
2020-01-04,3.1
2020-03-31,3.16
2020-03-30,3.14
2020-03-27,3.09
2020-03-26,2.98
2020-03-24,2.62
2020-03-23,2.68
2020-03-20,2.88
2020-03-19,2.62
2020-03-18,2.81
2020-03-17,2.94
2020-03-16,3.16
2020-03-13,3.39
2020-12-03,3.31
2020-11-03,3.4
2020-10-03,3.49
2020-09-03,3.5
2020-06-03,3.75
2020-05-03,3.83
2020-04-03,3.83
2020-03-03,3.62
2020-02-03,3.44
2020-02-28,3.49
2020-02-27,3.47
2020-02-26,3.51
2020-02-25,3.59
2020-02-24,3.64
2020-02-21,3.69
2020-02-20,3.63
2020-02-19,3.62
2020-02-18,3.62
2020-02-17,3.61
2020-02-14,3.64
2020-02-13,3.73
2020-12-02,3.82
2020-11-02,3.79
2020-10-02,3.81
2020-07-02,3.79
2020-06-02,3.76
2020-05-02,3.77
2020-04-02,3.76
2020-03-02,3.74
2020-01-31,3.8
2020-01-30,3.86
2020-01-29,3.9
2020-01-28,3.83
2020-01-27,3.84
2020-01-24,3.92
2020-01-23,3.88
2020-01-22,3.86
2020-01-21,3.89
2020-01-20,3.81
2020-01-17,3.81
2020-01-16,3.85
2020-01-15,3.88
2020-01-14,3.95
2020-01-13,4.03
2020-10-01,3.98
2020-09-01,3.96
2020-08-01,3.9
2020-07-01,3.94
2020-06-01,3.96
2020-03-01,3.98
2020-02-01,3.91
2019-12-30,3.97
2019-12-27,3.99
2019-12-26,4.0
2019-12-23,4.02
2019-12-20,4.02
2019-12-19,3.9
2019-12-18,3.99
2019-12-17,3.98
2019-12-16,3.97
2019-12-13,3.99
2019-12-12,3.95
2019-11-12,4.05
2019-10-12,4.04
2019-09-12,4.07
2019-06-12,4.1
2019-05-12,4.06
2019-04-12,3.99
2019-03-12,3.92
2019-02-12,3.95
2019-11-29,3.93
2019-11-28,3.82
2019-11-27,3.88
2019-11-26,3.86
2019-11-25,3.95
2019-11-22,4.05
2019-11-21,4.02
2019-11-20,4.09
2019-11-19,4.02
2019-11-18,4.0
2019-11-15,4.08
2019-11-14,4.05
2019-11-13,4.15
2019-12-11,4.18
2019-11-11,4.1
2019-08-11,4.11
2019-07-11,4.07
2019-06-11,4.12
2019-05-11,4.2
2019-04-11,4.15
2019-01-11,4.08
2019-10-31,4.11
2019-10-30,4.27
2019-10-29,4.33
2019-10-28,4.26
2019-10-25,4.28
2019-10-24,4.35
2019-10-23,4.26
2019-10-22,4.23
2019-10-21,4.2
2019-10-18,4.19
2019-10-17,4.17
2019-10-16,4.17
2019-10-15,4.17
2019-10-14,4.19
2019-11-10,4.17
2019-10-10,4.11
2019-09-10,4.12
2019-08-10,4.09
2019-07-10,4.11
2019-04-10,4.19
2019-03-10,4.2
2019-02-10,4.2
2019-01-10,4.25
2019-09-30,4.31
2019-09-27,4.31
2019-09-26,4.36
2019-09-25,4.22
2019-09-24,4.21
2019-09-23,4.25
2019-09-20,4.29
2019-09-19,4.21
2019-09-18,4.25
2019-09-17,4.27
2019-09-16,4.22
2019-09-13,4.16
2019-12-09,4.17
2019-11-09,4.25
2019-10-09,4.27
2019-09-09,4.27
2019-06-09,4.21
2019-05-09,4.32
2019-04-09,4.29
2019-03-09,4.35
2019-02-09,4.41
2019-08-30,4.45
2019-08-29,4.38
2019-08-28,4.37
2019-08-27,4.38
2019-08-26,4.33
2019-08-23,4.38
2019-08-22,4.45
2019-08-21,4.41
2019-08-20,4.47
2019-08-19,4.34
2019-08-16,4.28
2019-08-15,4.29
2019-08-14,4.29
2019-08-13,4.25
2019-12-08,4.26
2019-09-08,4.26
2019-08-08,4.26
2019-07-08,4.21
2019-06-08,4.13
2019-05-08,4.08
2019-02-08,4.28
2019-01-08,4.28
2019-07-31,4.3
2019-07-30,4.27
2019-07-29,4.2
2019-07-26,4.16
2019-07-25,4.21
2019-07-24,4.19
2019-07-23,4.25
2019-07-22,4.26
2019-07-19,4.27
2019-07-18,4.24
2019-07-17,4.23
2019-07-16,4.24
2019-07-15,4.28
2019-12-07,4.18
2019-11-07,4.27
2019-10-07,4.29
2019-09-07,4.35
2019-08-07,4.27
2019-05-07,4.28
2019-04-07,4.25
2019-03-07,4.24
2019-02-07,4.25
2019-01-07,4.22
2019-06-28,4.14
2019-06-27,4.09
2019-06-26,3.98
2019-06-25,4.01
2019-06-24,3.98
2019-06-21,4.04
2019-06-20,4.04
2019-06-19,4.1
2019-06-18,3.98
2019-06-17,3.9
2019-06-14,3.99
2019-06-13,3.99
2019-12-06,3.94
2019-11-06,4.02
2019-10-06,4.04
2019-05-31,3.9
2019-05-29,3.78
2019-05-28,3.69
2019-05-27,3.82
2019-05-24,3.75
2019-05-23,3.66
2019-05-22,3.54
2019-05-21,3.6
2019-05-20,3.6
2019-05-17,3.51
2019-05-16,3.6
2019-05-15,3.66
2019-05-14,3.76
2019-05-13,3.77
2019-10-05,3.79
2019-09-05,3.8
2019-08-05,3.9
2019-07-05,3.9
2019-06-05,3.84
2019-03-05,3.82
2019-02-05,3.83
2019-04-30,3.79
2019-04-29,3.86
2019-04-26,3.91
2019-04-25,3.83
2019-04-24,3.84
2019-04-23,3.85
2019-04-22,3.78
2019-04-18,3.86
2019-04-16,3.87
2019-04-15,3.83
2019-12-04,3.83
2019-11-04,3.87
2019-10-04,3.95
2019-09-04,3.97
2019-08-04,3.98
2019-05-04,4.05
2019-04-04,4.04
2019-02-04,3.95
2019-01-04,3.93
2019-03-29,3.95
2019-03-28,3.89
2019-03-27,3.82
2019-03-26,3.82
2019-03-25,3.77
2019-03-22,3.82
2019-03-21,3.8
2019-03-20,3.78
2019-03-19,3.78
2019-03-18,3.83
2019-03-15,3.74
2019-03-14,3.73
2019-03-13,3.73
2019-12-03,3.8
2019-11-03,3.77
2019-08-03,3.74
2019-06-03,3.82
2019-05-03,3.87
2019-04-03,3.85
2019-01-03,3.91
2019-02-28,3.86
2019-02-27,3.91
2019-02-26,3.93
2019-02-25,3.91
2019-02-22,3.84
2019-02-21,3.87
2019-02-20,3.87
2019-02-19,3.92
2019-02-18,3.9
2019-02-15,3.79
2019-02-14,3.74
2019-02-13,3.79
2019-12-02,3.82
2019-11-02,3.93
2019-08-02,3.85
2019-07-02,3.86
2019-06-02,3.86
2019-04-02,3.78
2019-01-02,3.87
2019-01-31,3.9
2019-01-30,3.86
2019-01-29,3.84
2019-01-28,3.78
2019-01-25,3.88
2019-01-24,3.86
2019-01-23,3.92
2019-01-22,4.0
2019-01-21,4.03
2019-01-18,4.02
2019-01-17,3.99
2019-01-16,3.99
2019-01-15,3.93
2019-01-14,3.85
2019-11-01,3.86
2019-10-01,3.8
2019-09-01,3.73
